run_id,boat_id,wafer_id,wafer_label,wafer_number,position,position_code,wafer_broken_flag,valid_final_measurement,temp_C,oxidation_time_min,loading_time_min,unloading_time_min,cooling_time_min,native_oxide_nm,native_std_nm,native_uniformity,final_thickness_nm,final_std_nm,final_uniformity,growth_nm,pair_pct_difference,master_row,predicted_growth_nm,residual_nm,door_baseline_pred_nm,B_interp_um2_per_hr,source_residual_nm,gp_pred_residual_nm,gp_pred_std_nm,hybrid_pred_nm,hybrid_error_nm
R03,3,W05,5 (broken),5,source,0,True,True,1000.0,14.033333333333331,0.9333333333333332,1.0333333333333334,,2.941,0.01787282669,0.994,27.633,1.24,0.955,24.692,8.269,7,133.50262038038414,-108.81062038038414,30.00529106404526,0.0295070695210566,-5.313291064045259,-5.313276529608684,0.05226972412186471,24.692014534436574,-1.4534436573399034e-05
R06,6,W11,11.0,11,source,0,False,True,1050.0,13.216666666666669,0.8,1.3666666666666667,10.0,2.906,0.007809501022,0.997,67.919,4.72,0.931,65.01299999999999,4.85,13,187.26490738888128,-122.25190738888128,72.87717293845367,0.0902792697648061,-7.864172938453677,-7.864163349542579,0.052269721112953096,65.01300958891109,-9.588911098035169e-06
R05,5,W09,9.0,9,source,0,False,True,1050.0,28.216666666666665,0.7833333333333333,1.25,10.0,2.927,0.0441738212,0.985,140.544,8.895,0.937,137.61700000000002,9.592,11,268.77677850209545,-131.15977850209543,129.0334786977518,0.0902792697648061,8.583521302248215,8.583543339953643,0.052269718846839223,137.61702203770545,-2.203770543474093e-05
R04,4,W07,7.0,7,source,0,False,True,1050.0,44.483333333333334,0.95,1.4833333333333334,10.0,2.93,0.0406299226,0.986,253.42,7.297,0.971,250.49,7.167,9,340.62831542509394,-90.13831542509394,177.36626957982807,0.0902792697648061,73.12373042017194,73.12365770610542,0.052269721952953034,250.4899272859335,7.271406650488643e-05
R07,7,W13,13.0,13,source,0,False,True,1100.0,16.7,1.5333333333333334,1.6666666666666667,10.0,2.889,0.01368569456,0.995,249.15101864864863,10.106172766274517,0.959,246.26201864864865,3.025,15,266.092544505636,-19.83052585698735,184.3720141819755,0.2546135656883126,61.89000446667316,61.88995147899681,0.05226972408704606,246.2619656609723,5.298767635508739e-05
R09,9,W17,17.0,17,source,0,False,True,1100.0,44.11666666666667,2.033333333333333,1.8,10.0,2.884,0.0161483401,0.994,367.2619810000001,13.87338360213414,0.962,364.377981,9.148,19,420.1884124984888,-55.81043149848881,344.0852359304222,0.2546135656883126,20.29274506957779,20.292736405643907,0.05226972408704606,364.3779723360661,8.663933897423703e-06
R10,10,W19,19.0,19,source,0,False,True,1150.0,14.7,1.5833333333333333,1.4833333333333334,10.0,2.888,0.04914905295,0.983,324.551611,0.8745993133940878,0.997,321.663611,1.364,21,308.12804464490625,13.53556635509375,316.61590644737714,0.667627810224366,5.047704552622861,5.047681131216472,0.052269721390051524,321.6635875785936,2.3421406410761847e-05
R11,11,W21,21.0,21,source,0,False,True,1150.0,30.2,1.0833333333333333,1.6666666666666667,10.0,3.056,0.1050427299,0.966,438.38910489189186,6.316751158762119,0.986,435.3331048918919,6.936,23,418.4564648068976,16.87664008499428,488.25107832137826,0.667627810224366,-52.91797342948638,-52.91790235843551,0.05226971800538846,435.33317596294273,-7.107105085424337e-05
R12,12,W23,23.0,23,source,0,False,True,1150.0,45.016666666666666,0.9333333333333332,0.8666666666666667,10.0,3.001,0.02047364997,0.993,596.463688972973,1.3260721227590408,0.998,593.4626889729731,0.815,25,503.6659174545319,89.79677151844112,614.7771050039174,0.667627810224366,-21.31441603094436,-21.31441448420795,0.05226972086922254,593.4626905197094,-1.5467363709831261e-06
